location_id,longitude,latitude,vs30_m_s,vs30_status,direct_status,raster_row,raster_column,fallback_distance_m,source_raster,source_raster_md5
1,27.69836368910688,36.72096108226829,249.61154174804688,nearest_valid,nodata,4277,1215,785.0992841011663,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
2,29.327564169136853,36.39455464027055,512.3291015625,direct,valid,4267,1819,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
3,29.867739251599968,36.27950272914779,444.1215515136719,direct,valid,4264,2020,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
4,27.812520356913147,37.16167480728152,416.2839050292969,direct,valid,4076,1209,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
5,28.36015699826684,37.05523302606474,419.6947937011719,direct,valid,4073,1409,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
6,28.90634871473881,36.94562940880127,537.6055297851562,direct,valid,4070,1609,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
7,29.45106411136452,36.8328772139447,600.7100219726562,direct,valid,4067,1810,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
8,29.994272814771403,36.71698994271946,421.3836364746094,direct,valid,4064,2011,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
9,30.535945483414405,36.59798132724053,361.19775390625,direct,valid,4061,2211,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
10,32.68672555867665,36.0910154761869,576.5399780273438,direct,valid,4047,3017,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
11,27.37647198696236,37.70594421844185,365.6109924316406,direct,valid,3879,1001,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
12,27.928765973795198,37.60190569498504,460.6383056640625,direct,valid,3877,1201,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
13,28.479607457505445,37.49467199987921,576.5399780273438,direct,valid,3874,1401,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
14,29.028963277033085,37.384256519078185,420.2082214355469,direct,valid,3871,1601,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
15,29.5768013203776,37.27067289867793,413.7246398925781,direct,valid,3868,1801,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
