location_id,longitude,latitude,vs30_m_s,vs30_status,direct_status,raster_row,raster_column,fallback_distance_m,source_raster,source_raster_md5
32,28.274334826403585,37.16473406506914,576.5399780273438,direct,valid,4034,1367,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
33,28.493355693314186,37.12146045849537,575.4285278320312,direct,valid,4033,1447,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
34,28.7121430512243,37.07768074418756,619.1500244140625,direct,valid,4031,1528,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
35,28.930694875118274,37.0333957740634,619.1500244140625,direct,valid,4030,1608,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
36,29.149009166220107,36.98860640640396,600.4848022460938,direct,valid,4029,1688,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
37,29.36708395210768,36.94331350573155,412.8243103027344,direct,valid,4028,1768,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
38,29.584917286821582,36.89751794268751,600.7100219726562,direct,valid,4027,1848,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
39,29.802507250968524,36.85122059390943,600.7100219726562,direct,valid,4026,1928,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
40,30.019851951819366,36.804422341908214,395.17291259765625,direct,valid,4024,2009,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
41,30.23694952340187,36.75712407494494,600.7100219726562,direct,valid,4023,2089,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
42,30.453798126588048,36.70932668690744,600.7100219726562,direct,valid,4022,2169,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
43,32.39394190600924,36.25683986364875,600.7100219726562,direct,valid,4010,2894,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
44,32.608205630981665,36.204101578044884,576.5399780273438,direct,valid,4008,2975,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
45,32.8222019486659,36.150874340066636,576.5399780273438,direct,valid,4007,3055,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
46,27.220656792268496,37.549961438045116,170.2329864501953,nearest_valid,outside_model_range,3958,964,355.8816082246173,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
47,27.44133539370733,37.50910933878911,298.4751281738281,nearest_valid,nodata,3954,1042,1249.717726481304,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
48,27.661788489963506,37.467745653388846,576.5399780273438,direct,valid,3957,1124,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
49,27.8820139063209,37.42587120970863,576.5399780273438,direct,valid,3956,1204,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
50,28.1020094940455,37.38348684264381,433.7031555175781,direct,valid,3955,1284,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
51,28.32177313052782,37.34059339399904,576.5399780273438,direct,valid,3954,1364,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
52,28.541302719419615,37.29719171236591,576.5399780273438,direct,valid,3953,1444,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
53,28.76059619076499,37.25328265300026,619.1500244140625,direct,valid,3952,1524,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
54,28.979651501125915,37.20886707769907,619.1500244140625,direct,valid,3951,1604,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
55,29.198466633702182,37.16394585467681,449.03564453125,direct,valid,3950,1684,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
56,29.417039598445704,37.11851985844161,446.62091064453125,direct,valid,3948,1764,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
57,29.635368432169425,37.0725899696711,600.7100219726562,direct,valid,3947,1845,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
58,29.85345119865057,37.02615707508775,600.7100219726562,direct,valid,3946,1925,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
59,30.071285988728555,36.97922206733419,456.63250732421875,direct,valid,3945,2005,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
60,30.288870920397333,36.931785844848164,600.7100219726562,direct,valid,3943,2085,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
61,30.506204138892407,36.88384931173726,600.7100219726562,direct,valid,3942,2165,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
62,32.23559469029164,36.48245612885767,600.7100219726562,direct,valid,3931,2809,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
63,32.45058355687311,36.43005835830706,590.8509521484375,direct,valid,3930,2890,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
64,32.66530367625988,36.3771696024007,475.07366943359375,direct,valid,3929,2970,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
65,32.87975349757471,36.323790819315875,600.7100219726562,direct,valid,3927,3051,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
66,33.0939314978176,36.26992297139023,600.7100219726562,direct,valid,3926,3132,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
67,33.30783618188619,36.21556702499643,600.7100219726562,direct,valid,3924,3213,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
68,33.52146608259121,36.16072395041664,600.7100219726562,direct,valid,3923,3293,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
69,27.265841880490992,37.72636735156866,505.03619384765625,direct,valid,3880,961,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
70,27.48704535792401,37.685392768940616,238.9805145263672,direct,valid,3879,1041,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
71,27.708020787457276,37.643905273565125,440.5792236328125,direct,valid,3878,1121,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
72,27.928765973795194,37.601905703011674,460.6383056640625,direct,valid,3877,1201,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
73,28.1492787480275,37.559394901944735,576.5399780273438,direct,valid,3876,1281,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
74,28.369556967772358,37.516373722000075,576.5399780273438,direct,valid,3874,1361,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
75,28.589598517313622,37.47284302166057,451.1012878417969,direct,valid,3873,1441,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
76,28.809401307732443,37.42880366613154,507.3622741699219,direct,valid,3872,1521,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
77,29.02896327703308,37.38425652721572,420.2082214355469,direct,valid,3871,1601,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
78,29.248282390263093,37.33920248318786,614.323974609375,direct,valid,3870,1681,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
79,29.467356639627766,37.29364241866886,342.8047180175781,direct,valid,3869,1761,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
80,29.686184044598946,37.247577224499736,619.1500244140625,direct,valid,3868,1841,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
81,29.904762652018224,37.20100779761518,600.7100219726562,direct,valid,3866,1921,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
82,30.123090536194542,37.15393504091692,520.7107543945312,direct,valid,3865,2001,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
83,30.34116579899628,37.10635986314674,335.5605163574219,direct,valid,3864,2081,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
84,30.558986569937684,37.0582831787595,510.8279113769531,direct,valid,3863,2162,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
85,30.776551006259982,37.00970590779576,324.5345458984375,direct,valid,3861,2242,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
86,30.99385729300692,36.96062897575434,257.7676696777344,direct,valid,3860,2322,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
87,31.21090364309496,36.911053313464876,346.513671875,direct,valid,3859,2403,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
88,31.427688297378037,36.860979856960014,431.0146179199219,direct,valid,3857,2483,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
89,31.644209524707083,36.810409547347874,435.1188659667969,direct,valid,3856,2563,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
90,31.86046562198417,36.75934333068417,576.5399780273438,direct,valid,3855,2644,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
91,32.076454914211475,36.70778215784453,576.5399780273438,direct,valid,3853,2724,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
92,32.29217575453506,36.655726984396765,576.5399780273438,direct,valid,3852,2805,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
