location_id,longitude,latitude,easting_m,northing_m
1,29.303128164840338,36.30682687761442,6050000.0,1690000.0
2,29.411160503299456,36.28409812267165,6060000.0,1690000.0
3,29.51913429393948,36.26124497544298,6070000.0,1690000.0
4,29.627049306466315,36.238267541755945,6080000.0,1690000.0
5,29.73490531217176,36.21516592779136,6090000.0,1690000.0
6,29.842702083936352,36.19194024007959,6100000.0,1690000.0
7,27.589301305370867,36.741715765832666,5890000.0,1700000.0
8,27.69836368910687,36.72096109074584,5900000.0,1700000.0
9,28.025220090756218,36.6579403071121,5930000.0,1700000.0
10,29.219352315419773,36.417191513385696,6040000.0,1700000.0
11,29.327564169136853,36.39455464891629,6050000.0,1700000.0
12,29.435717386047425,36.37179313674507,6060000.0,1700000.0
13,29.543811733253467,36.348907082944905,6070000.0,1700000.0
14,29.651846979451506,36.325896593947036,6080000.0,1700000.0
15,29.759822894935535,36.30276177653741,6090000.0,1700000.0
16,29.867739251599964,36.27950273785293,6100000.0,1700000.0
17,29.975595822942346,36.2561195853778,6110000.0,1700000.0
18,27.830163649394294,36.78823109988321,5910000.0,1710000.0
19,27.939241540944746,36.76719342245552,5920000.0,1710000.0
20,28.157229747629525,36.72473971784226,5940000.0,1710000.0
21,29.135362051695854,36.527475604823685,6030000.0,1710000.0
22,29.24375420390914,36.504930919521385,6040000.0,1710000.0
23,29.35208763200407,36.48226132983342,6050000.0,1710000.0
24,29.460362100455047,36.45946694207523,6060000.0,1710000.0
25,29.568577375339736,36.43654786292571,6070000.0,1710000.0
26,29.676733224342055,36.41350419942352,6080000.0,1710000.0
27,29.784829416755176,36.3903360589635,6090000.0,1710000.0
28,29.89286572348437,36.36704354929284,6100000.0,1710000.0
29,30.000841917049797,36.34362677850738,6110000.0,1710000.0
30,30.108757771589282,36.32008585504789,6120000.0,1710000.0
31,28.071390439272232,36.8340991880343,5930000.0,1720000.0
32,28.180481980929358,36.812778166161735,5940000.0,1720000.0
33,28.72508575007133,36.704283562231204,5990000.0,1720000.0
34,28.83383397052426,36.68220746960079,6000000.0,1720000.0
35,29.159729148168495,36.61522673525474,6030000.0,1720000.0
36,29.268243574844124,36.59264935767198,6040000.0,1720000.0
37,29.376698953615115,36.56994692430285,6050000.0,1720000.0
38,29.485095047916403,36.54711954207101,6060000.0,1720000.0
39,29.593431622798064,36.52416731826514,6070000.0,1720000.0
40,29.701708444928247,36.501090360535215,6080000.0,1720000.0
41,29.809925282596193,36.47788877688865,6090000.0,1720000.0
42,29.91808190571509,36.45456267568672,6100000.0,1720000.0
43,30.026178085824842,36.43111216564066,6110000.0,1720000.0
44,30.13421359609482,36.40753735580809,6120000.0,1720000.0
45,30.24218821132646,36.38383835558909,6130000.0,1720000.0
46,30.350101707955858,36.36001527472258,6140000.0,1720000.0
47,30.457953864056233,36.336068223282474,6150000.0,1720000.0
48,27.32850726002089,37.06807110788667,5860000.0,1730000.0
49,27.438115779196075,37.0476055286773,5870000.0,1730000.0
50,27.547669209616885,37.027012973433045,5880000.0,1730000.0
51,28.094600819848417,36.92214909738731,5930000.0,1730000.0
52,28.203818213387976,36.90079681628494,5940000.0,1730000.0
53,28.312978698076762,36.87931827318845,5950000.0,1730000.0
54,28.42208202022121,36.85771357176321,5960000.0,1730000.0
55,28.531127927720014,36.83598281607832,5970000.0,1730000.0
56,28.640116170067905,36.81412611060303,5980000.0,1730000.0
57,28.74904649835949,36.79214356020293,5990000.0,1730000.0
58,28.85791866529291,36.7700352701363,6000000.0,1730000.0
59,28.966732425173454,36.74780134605033,6010000.0,1730000.0
60,29.075487533917034,36.725441893977404,6020000.0,1730000.0
61,29.184183749053684,36.70295702033142,6030000.0,1730000.0
62,29.29282082973089,36.68034683190394,6040000.0,1730000.0
63,29.401398536716858,36.65761143586056,6050000.0,1730000.0
64,29.509916632403726,36.63475093973706,6060000.0,1730000.0
65,29.618374880810656,36.611765451435694,6070000.0,1730000.0
66,29.726773047586878,36.588655079221446,6080000.0,1730000.0
67,29.835110900014616,36.565419931718246,6090000.0,1730000.0
68,29.943388207012013,36.5420601179052,6100000.0,1730000.0
69,30.051604739135858,36.5185757471128,6110000.0,1730000.0
70,30.159760268584325,36.49496692901922,6120000.0,1730000.0
71,30.267854569199592,36.47123377364646,6130000.0,1730000.0
72,30.375887416470395,36.4473763913566,6140000.0,1730000.0
73,30.48385858753451,36.423394892848016,6150000.0,1730000.0
74,27.460646049825264,37.13582064799471,5870000.0,1740000.0
75,27.57032760776377,37.11519768140355,5880000.0,1740000.0
76,27.679953502799343,37.09444767762358,5890000.0,1740000.0
77,27.789523470531773,37.07357073840816,5900000.0,1740000.0
78,27.899037248140214,37.05256696593855,5910000.0,1740000.0
79,28.00849457438754,37.031436462820096,5920000.0,1740000.0
80,28.22723883579452,36.98879567715674,5940000.0,1740000.0
81,28.3365252564366,36.96728560190998,5950000.0,1740000.0
82,28.44575419669056,36.945649210603236,5960000.0,1740000.0
83,28.55492540330036,36.92388660790695,5970000.0,1740000.0
84,28.66403862461807,36.90199789889339,5980000.0,1740000.0
85,28.773093610607678,36.87998318903295,5990000.0,1740000.0
86,28.88209011284875,36.8578425841903,6000000.0,1740000.0
87,28.991027884540035,36.83557619062074,6010000.0,1740000.0
88,29.099906680503015,36.81318411496639,6020000.0,1740000.0
89,29.208726257185308,36.79066646425243,6030000.0,1740000.0
90,29.317486372664064,36.76802334588332,6040000.0,1740000.0
91,29.426186786649208,36.74525486763904,6050000.0,1740000.0
92,29.534827260486637,36.722361137671335,6060000.0,1740000.0
93,29.643407557161364,36.699342264499876,6070000.0,1740000.0
94,29.7519274413005,36.67619835700851,6080000.0,1740000.0
95,29.860386679176212,36.65292952444147,6090000.0,1740000.0
96,29.968785038708628,36.62953587639955,6100000.0,1740000.0
97,30.07712228946856,36.60601752283633,6110000.0,1740000.0
98,30.185398202680236,36.58237457405441,6120000.0,1740000.0
99,30.293612551223955,36.55860714070152,6130000.0,1740000.0
100,30.401765109638546,36.53471533376674,6140000.0,1740000.0
101,30.50985565412391,36.51069926457678,6150000.0,1740000.0
102,27.593068346475686,37.20336329221357,5880000.0,1750000.0
103,27.702822471661236,37.18258260248549,5890000.0,1750000.0
104,27.81252035691314,37.16167481553283,5900000.0,1750000.0
105,27.922161738178705,37.1406400341309,5910000.0,1750000.0
106,28.031746353001044,37.11947836148106,5920000.0,1750000.0
107,28.14127394052341,37.09818990120706,5930000.0,1750000.0
108,28.250744241493337,37.07677475735119,5940000.0,1750000.0
109,28.360156998266834,37.05523303437059,5950000.0,1750000.0
110,28.469511954812354,37.03356483713355,5960000.0,1750000.0
111,28.578808856714765,37.01177027091561,5970000.0,1750000.0
112,28.688047451179216,36.98984944139595,5980000.0,1750000.0
113,28.797227487034913,36.96780245465354,5990000.0,1750000.0
114,28.906348714738805,36.945629417163346,6000000.0,1750000.0
115,29.0154108863792,36.92333043579257,6010000.0,1750000.0
116,29.124413755679292,36.90090561779694,6020000.0,1750000.0
117,29.233357078000576,36.87835507081677,6030000.0,1750000.0
118,29.342240610346263,36.855678902873265,6040000.0,1750000.0
119,29.451064111364516,36.83287722236468,6050000.0,1750000.0
120,29.559827341351614,36.80995013806254,6060000.0,1750000.0
121,29.668530062255115,36.7868977591078,6070000.0,1750000.0
122,29.777172037676863,36.76372019500706,6080000.0,1750000.0
123,29.88575303287591,36.740417555628675,6090000.0,1750000.0
124,29.994272814771396,36.71698995119905,6100000.0,1750000.0
125,30.10273115194532,36.69343749229868,6110000.0,1750000.0
126,30.211127814645263,36.66976028985843,6120000.0,1750000.0
127,30.31946257478693,36.64595845515567,6130000.0,1750000.0
128,30.42773520595678,36.62203209981038,6140000.0,1750000.0
129,30.535945483414395,36.5979813357814,6150000.0,1750000.0
130,32.47282185915848,36.14392325797008,6330000.0,1750000.0
131,32.5798069559602,36.11753042361997,6340000.0,1750000.0
132,32.68672555867664,36.09101548498944,6350000.0,1750000.0
133,32.79357747812989,36.06437856026349,6360000.0,1750000.0
134,27.28590685581374,37.353179699686244,5850000.0,1760000.0
135,27.395957680602272,37.33275060519027,5860000.0,1760000.0
136,27.505952756316336,37.312193943676625,5870000.0,1760000.0
137,27.615891812868817,37.291509817212145,5880000.0,1760000.0
138,27.72577458176724,37.270698328302835,5890000.0,1760000.0
139,27.83560079611834,37.249759579890274,5900000.0,1760000.0
140,27.9453701906325,37.228693675347664,5910000.0,1760000.0
141,28.055082501628146,37.207500718476226,5920000.0,1760000.0
142,28.164737467036073,37.18618081350141,5930000.0,1760000.0
