location_id,longitude,latitude,vs30_m_s,vs30_status,direct_status,raster_row,raster_column,fallback_distance_m,source_raster,source_raster_md5
1,29.303128164840338,36.30682687761442,252.3652801513672,direct,valid,4307,1821,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
2,29.411160503299456,36.28409812267165,480.1681823730469,direct,valid,4306,1861,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
3,29.51913429393948,36.26124497544298,473.50848388671875,direct,valid,4305,1901,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
4,29.627049306466315,36.238267541755945,600.7100219726562,direct,valid,4305,1942,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
5,29.73490531217176,36.21516592779136,600.7100219726562,direct,valid,4304,1982,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
6,29.842702083936352,36.19194024007959,277.99853515625,nearest_valid,outside_model_range,4302,2020,654.1123297066749,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
7,27.589301305370867,36.741715765832666,600.7100219726562,direct,valid,4276,1177,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
8,27.69836368910687,36.72096109074584,249.61154174804688,nearest_valid,nodata,4277,1215,785.099643179562,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
9,28.025220090756218,36.6579403071121,157.9153594970703,nearest_valid,nodata,4268,1336,1485.6006010207004,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
10,29.219352315419773,36.417191513385696,600.7100219726562,direct,valid,4267,1779,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
11,29.327564169136853,36.39455464891629,512.3291015625,direct,valid,4267,1819,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
12,29.435717386047425,36.37179313674507,600.7100219726562,direct,valid,4266,1859,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
13,29.543811733253467,36.348907082944905,600.7100219726562,direct,valid,4265,1899,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
14,29.651846979451506,36.325896593947036,451.6506652832031,direct,valid,4265,1940,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
15,29.759822894935535,36.30276177653741,430.61688232421875,direct,valid,4264,1980,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
16,29.867739251599964,36.27950273785293,444.1215515136719,direct,valid,4264,2020,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
17,29.975595822942346,36.2561195853778,436.8978271484375,direct,valid,4263,2060,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
18,27.830163649394294,36.78823109988321,600.7100219726562,direct,valid,4235,1256,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
19,27.939241540944746,36.76719342245552,619.1500244140625,direct,valid,4234,1296,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
20,28.157229747629525,36.72473971784226,600.7100219726562,direct,valid,4233,1376,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
21,29.135362051695854,36.527475604823685,528.5498046875,direct,valid,4228,1737,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
22,29.24375420390914,36.504930919521385,600.7100219726562,direct,valid,4227,1777,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
23,29.35208763200407,36.48226132983342,395.0553283691406,direct,valid,4227,1817,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
24,29.460362100455047,36.45946694207523,505.7729187011719,direct,valid,4226,1857,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
25,29.568577375339736,36.43654786292571,517.149169921875,direct,valid,4226,1898,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
26,29.676733224342055,36.41350419942352,461.2416076660156,direct,valid,4225,1938,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
27,29.784829416755176,36.3903360589635,442.20367431640625,direct,valid,4224,1978,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
28,29.89286572348437,36.36704354929284,463.2635498046875,direct,valid,4224,2018,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
29,30.000841917049797,36.34362677850738,600.7100219726562,direct,valid,4223,2058,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
30,30.108757771589282,36.32008585504789,600.7100219726562,direct,valid,4222,2099,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
31,28.071390439272232,36.8340991880343,619.1500244140625,direct,valid,4194,1334,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
32,28.180481980929358,36.812778166161735,619.1500244140625,direct,valid,4193,1374,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
33,28.72508575007133,36.704283562231204,156.09446716308594,nearest_valid,outside_model_range,4189,1575,356.50494361083395,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
34,28.83383397052426,36.68220746960079,540.4151611328125,direct,valid,4190,1615,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
35,29.159729148168495,36.61522673525474,600.7100219726562,direct,valid,4188,1735,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
36,29.268243574844124,36.59264935767198,615.2437133789062,direct,valid,4187,1775,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
37,29.376698953615115,36.56994692430285,392.0783996582031,direct,valid,4187,1815,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
38,29.485095047916403,36.54711954207101,600.7100219726562,direct,valid,4186,1856,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
39,29.593431622798064,36.52416731826514,600.7100219726562,direct,valid,4186,1896,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
40,29.701708444928247,36.501090360535215,467.1158447265625,direct,valid,4185,1936,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
41,29.809925282596193,36.47788877688865,494.9518127441406,direct,valid,4184,1976,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
42,29.91808190571509,36.45456267568672,489.16888427734375,direct,valid,4184,2016,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
43,30.026178085824842,36.43111216564066,600.7100219726562,direct,valid,4183,2056,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
44,30.13421359609482,36.40753735580809,600.7100219726562,direct,valid,4183,2097,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
45,30.24218821132646,36.38383835558909,413.4028015136719,direct,valid,4182,2137,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
46,30.350101707955858,36.36001527472258,600.7100219726562,direct,valid,4181,2177,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
47,30.457953864056233,36.336068223282474,600.7100219726562,direct,valid,4181,2217,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
48,27.32850726002089,37.06807110788667,537.5999755859375,direct,valid,4158,1052,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
49,27.438115779196075,37.0476055286773,576.5399780273438,direct,valid,4157,1092,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
50,27.547669209616885,37.027012973433045,576.5399780273438,direct,valid,4156,1132,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
