event_id,origin_time,longitude,latitude,depth_km,magnitude,magnitude_type,rake
862,1986-06-06 10:39:00,37.93,37.99,2,5.9,Mw,30.0
996,1991-04-29 18:30:00,43.88,42.53,8,6.0,Mw,80.0
334,1971-05-12 12:57:00,29.6,37.49,12,5.5,Mw,-89.0
2303,1999-10-05 00:53:00,28.22,36.75,21,5.0,Mw,-57.0
2291,1996-04-12 15:39:00,27.04,36.59,162,5.2,Mw,-52.0
