depth_source,depth_label,source_depth_km,receiver_count,receivers_within_150_km,receivers_within_200_km,minimum_repi_km,minimum_rhypo_km,median_pga_g,mean_pga_g,maximum_pga_g,mean_structural_loss_ratio,maximum_structural_loss_ratio,locations_with_nonzero_structural_loss
wilber3_usgs,Wilber3 / USGS,10.0,311,29,47,18.751865936015694,21.251646432272153,0.0031297831563783926,0.007118672113752354,0.2489657464479364,7.227862505599762e-06,0.002247825239241526,5
global_cmt,gCMT,12.0,311,29,47,18.751865936015694,22.262804766747287,0.0031292056446443083,0.007051406607253323,0.23566048185394128,4.393059549171043e-06,0.0013662015197921944,5
analysed,Analysed,14.0,311,29,47,18.751865936015694,23.40154858299565,0.003128523452302378,0.006979466040701999,0.22199257329146851,2.1521624494639474e-06,0.0006692825217832876,5
