location_id,receiver_latitude,receiver_longitude,repi_km,analysed_pga_g,analysed_loss_ratio,global_cmt_pga_g,global_cmt_loss_ratio,pga_difference_g,loss_ratio_difference
1,36.72096108226829,27.69836368910688,1020.3407968161225,0.0011528786400237707,0.0,0.0011529214626586487,0.0,4.28226348779797e-08,0.0
2,36.39455464027055,29.327564169136853,889.8970303755772,0.0010478718299571062,0.0,0.0010479231234160077,0.0,5.129345890153743e-08,0.0
3,36.27950272914779,29.867739251599968,847.8726055496242,0.001195618651853,0.0,0.0011956831060508425,0.0,6.445419784245447e-08,0.0
4,37.16167480728152,27.812520356913147,999.7458333571514,0.0009609170777299309,0.0,0.0009609543392648851,0.0,3.726153495421571e-08,0.0
5,37.05523302606474,28.36015699826684,954.6042492052758,0.001025921743711822,0.0,0.0010259653756738208,0.0,4.3631961998925536e-08,0.0
6,36.94562940880127,28.90634871473881,909.9724195020747,0.000993347655611357,0.0,0.0009933941614491929,0.0,4.650583783588451e-08,0.0
7,36.8328772139447,29.45106411136452,865.9331831127646,0.0010209838758097587,0.0,0.0010210366638493458,0.0,5.278803958709555e-08,0.0
8,36.71698994271946,29.994272814771403,822.5861586957478,0.001278576907865382,0.0,0.0012786501257690166,0.0,7.321790363454608e-08,0.0
9,36.59798132724053,30.535945483414405,780.0516517257657,0.0014756305635200452,0.0,0.00147572447722245,0.0,9.391370240480722e-08,0.0
10,36.0910154761869,32.68672555867665,621.4699222477883,0.0017031544211830207,0.0,0.0017033253179708813,0.0,1.7089678786062594e-07,0.0
11,37.70594421844185,27.37647198696236,1027.67420643284,0.000973646175925219,0.0,0.0009736818979203756,0.0,3.5721995156594993e-08,0.0
12,37.60190569498504,27.9287659737952,981.1961689049944,0.0009471396139351031,0.0,0.000947177748361724,0.0,3.813442662093259e-08,0.0
13,37.49467199987921,28.479607457505445,935.0781479561834,0.0009262962228566449,0.0,0.0009263372952394348,0.0,4.10723827899695e-08,0.0
14,37.384256519078185,29.028963277033085,889.3798575407538,0.001139471256248764,0.0,0.0011395270811543844,0.0,5.582490562048084e-08,0.0
15,37.27067289867793,29.5768013203776,844.1735734382289,0.0012396186651017645,0.0,0.001239686067631953,0.0,6.740253018851401e-08,0.0
16,37.15393503266164,30.12309053619455,799.5473067231943,0.0012208760288680868,0.0,0.00122095005414519,0.0,7.402527710319122e-08,0.0
17,37.03405705056574,30.66780094401345,755.6088788080881,0.0016284408445896548,0.0,0.0016285512164233653,0.0,1.1037183371052049e-07,0.0
18,36.91105330508504,31.21090364309496,712.4911528224218,0.001718087477638967,0.0,0.0017182184836097248,0.0,1.3100597075774503e-07,0.0
19,36.78493835963457,31.75237081994863,670.3587224746395,0.001713267050440295,0.0,0.0017134147367031695,0.0,1.4768626287447323e-07,0.0
20,36.65572697588564,32.292175754535066,629.4163796953695,0.0016712066610575576,0.0,0.0016713701475587282,0.0,1.6348650117058508e-07,0.0
21,36.52343410129269,32.830292825178866,589.9196261727487,0.00202424218757846,0.0,0.0020244674863421452,0.0,2.252987636851972e-07,0.0
22,36.38807485662762,33.36669751222091,552.1872604909015,0.002262055624084168,0.0,0.0022623429001314486,0.0,2.872760472808107e-07,0.0
23,38.34642733343527,26.37603488009032,1107.4044405649101,0.0009595180459929788,0.0,0.0009595483415698907,0.0,3.029557691194319e-08,0.0
