location_id,receiver_latitude,receiver_longitude,repi_km,analysed_pga_g,analysed_loss_ratio,global_cmt_pga_g,global_cmt_loss_ratio,pga_difference_g,loss_ratio_difference
1,36.30682687761442,29.303128164840338,894.939431448935,0.0013947899456759165,0.0,0.0013948572546572111,0.0,-6.730898129462225e-08,0.0
2,36.28409812267165,29.411160503299456,886.5187717434626,0.001082829872484065,0.0,0.0010828832773921875,0.0,-5.340490812251464e-08,0.0
3,36.26124497544298,29.51913429393948,878.131750228509,0.001104721988189679,0.0,0.0011047775168970206,0.0,-5.552870734146925e-08,0.0
4,36.238267541755945,29.627049306466315,869.7793749134738,0.0010142594502044542,0.0,0.0010143114279743154,0.0,-5.1977769861214634e-08,0.0
5,36.21516592779136,29.73490531217176,861.4626891237099,0.001028893853370301,0.0,0.0010289476037360435,0.0,-5.375036574249009e-08,0.0
6,36.19194024007959,29.842702083936352,853.1827727993605,0.0014391851749160957,0.0,0.0014392616425736252,0.0,-7.646765752956745e-08,0.0
7,36.741715765832666,27.589301305370867,1029.2273896551274,0.0007891223058381249,0.0,0.0007891511895490709,0.0,-2.8883710946007307e-08,0.0
8,36.72096109074584,27.69836368910687,1020.340796589425,0.0011528786404047255,0.0,0.001152921463039636,0.0,-4.2822634910505766e-08,0.0
9,36.6579403071121,28.025220090756218,993.8079990060509,0.0014392982900342125,0.0,0.0014393541108421919,0.0,-5.5820807979417575e-08,0.0
10,36.417191513385696,29.219352315419773,898.4014366105364,0.0009664577407343177,0.0,0.0009665041642984651,0.0,-4.6423564147371477e-08,0.0
11,36.39455464891629,29.327564169136853,889.8970300886916,0.0010478718304607372,0.0,0.0010479231239196951,0.0,-5.129345895791594e-08,0.0
12,36.37179313674507,29.435717386047425,881.4244800304766,0.0009943443302581074,0.0,0.00099439395033463,0.0,-4.9620076522692916e-08,0.0
13,36.348907082944905,29.543811733253467,872.984748420158,0.001008711696439973,0.0,0.0010087630111246721,0.0,-5.131468469913268e-08,0.0
14,36.325896593947036,29.651846979451506,864.5788314606356,0.0011532124967858232,0.0,0.001153272288867526,0.0,-5.979208170269791e-08,0.0
15,36.30276177653741,29.759822894935535,856.2077608725289,0.0011936203393381787,0.0,0.0011936834360644,0.0,-6.309672622123279e-08,0.0
16,36.27950273785293,29.867739251599964,847.8726052372959,0.001195618652509435,0.0,0.0011956831067073618,0.0,-6.44541979268054e-08,0.0
17,36.2561195853778,29.975595822942346,839.5744713847743,0.001221619377347301,0.0,0.001221686538420291,0.0,-6.716107299009448e-08,0.0
18,36.78823109988321,27.830163649394294,1007.15723948857,0.0008150468627225357,0.0,0.0008150780167632951,0.0,-3.115404075936922e-08,0.0
19,36.76719342245552,27.939241540944746,998.271415534442,0.0008154814140648428,0.0,0.000815513142461746,0.0,-3.172839690317782e-08,0.0
20,36.72473971784226,28.157229747629525,980.5642530635712,0.0008482266354977092,0.0,0.0008482608397200548,0.0,-3.420422234551648e-08,0.0
21,36.527475604823685,29.135362051695854,902.0767111924506,0.0010135274668706862,0.0,0.001013575750639604,0.0,-4.828376891775725e-08,0.0
22,36.504930919521385,29.24375420390914,893.4913210856433,0.0009743876294528966,0.0,0.0009744349495875114,0.0,-4.732013461487047e-08,0.0
23,36.48226132983342,29.35208763200407,884.936049760629,0.0011779877856023767,0.0,0.0011780460697744391,0.0,-5.828417206244635e-08,0.0
24,36.45946694207523,29.460362100455047,876.411813239785,0.0010777978372113555,0.0,0.001077852230049601,0.0,-5.4392838245423056e-08,0.0
25,36.43654786292571,29.568577375339736,867.919560587432,0.0010834172678996087,0.0,0.0010834730204716864,0.0,-5.575257207767956e-08,0.0
26,36.41350419942352,29.676733224342055,859.4602752007149,0.001153283425848951,0.0,0.0011533439376850382,0.0,-6.051183608726286e-08,0.0
27,36.3903360589635,29.784829416755176,851.0349761475671,0.001191156081856273,0.0,0.001191219818928832,0.0,-6.373707255903638e-08,0.0
28,36.36704354929284,29.89286572348437,842.6447195525836,0.0011855842429949225,0.0,0.001185648956115805,0.0,-6.471312088258095e-08,0.0
29,36.34362677850738,30.000841917049797,834.290600031459,0.001079254815818019,0.0,0.0010793149280293919,0.0,-6.011221137286644e-08,0.0
30,36.32008585504789,30.108757771589282,825.9737521745133,0.0010954974569028124,0.0,0.0010955597082728595,0.0,-6.225137004706519e-08,0.0
31,36.8340991880343,28.071390439272232,985.0849047111392,0.0008318130229018317,0.0,0.0008318462587413563,0.0,-3.323583952453621e-08,0.0
32,36.812778166161735,28.180481980929358,976.1999333711619,0.0008431277619515401,0.0,0.0008431620657311489,0.0,-3.4303779608774523e-08,0.0
33,36.704283562231204,28.72508575007133,932.1156665717228,0.0015886354926269268,0.0,0.001588705412187418,0.0,-6.991956049123144e-08,0.0
34,36.68220746960079,28.83383397052426,923.3716931911721,0.0009698117080089942,0.0,0.0009698558044862464,0.0,-4.4096477252227734e-08,0.0
35,36.61522673525474,29.159729148168495,897.2989012665518,0.0009682289413173273,0.0,0.0009682755642853911,0.0,-4.662296806381885e-08,0.0
36,36.59264935767198,29.268243574844124,888.6637156711179,0.0009724930942625339,0.0,0.0009725408374740662,0.0,-4.774321153222863e-08,0.0
37,36.56994692430285,29.376698953615115,880.0578278448581,0.0011914865371922324,0.0,0.0011915461429092198,0.0,-5.960571698737128e-08,0.0
38,36.54711954207101,29.485095047916403,871.4821399017148,0.0010113060345356218,0.0,0.0010113576586968202,0.0,-5.1624161198464413e-08,0.0
39,36.52416731826514,29.593431622798064,862.9375870288601,0.0010262729257640266,0.0,0.0010263263561649059,0.0,-5.343040087929171e-08,0.0
40,36.501090360535215,29.701708444928247,854.4251388110454,0.0011572852284722703,0.0,0.001157346668896238,0.0,-6.144042396767982e-08,0.0
41,36.47788877688865,29.809925282596193,845.9458006056113,0.0011465067372321163,0.0,0.0011465688363447445,0.0,-6.209911262815282e-08,0.0
42,36.45456267568672,29.91808190571509,837.5006149692814,0.0011695227511116103,0.0,0.0011695873790981033,0.0,-6.462798649302555e-08,0.0
43,36.43111216564066,30.026178085824842,829.090663137734,0.0010893626478185538,0.0,0.0010894240861965751,0.0,-6.143837802136815e-08,0.0
44,36.40753735580809,30.13421359609482,820.7170665587851,0.0011059754475633698,0.0,0.0011060391016666415,0.0,-6.365410327177981e-08,0.0
45,36.38383835558909,30.24218821132646,812.3809884798985,0.001313026061998727,0.0,0.001313103148499249,0.0,-7.708650052204273e-08,0.0
46,36.36001527472258,30.350101707955858,804.0836355904827,0.0011402584807300577,0.0,0.001140326850091272,0.0,-6.836936121434357e-08,0.0
47,36.336068223282474,30.457953864056233,795.8262597192462,0.0011579426435465957,0.0,0.0011580135208922192,0.0,-7.087734562346952e-08,0.0
48,37.06807110788667,27.32850726002089,1043.8759490211755,0.0008094801792025115,0.0,0.0008095089805194998,0.0,-2.8801316988356744e-08,0.0
49,37.0476055286773,27.438115779196075,1034.816658785566,0.0007963739001213264,0.0,0.0007964027346295382,0.0,-2.883450821178097e-08,0.0
50,37.027012973433045,27.547669209616885,1025.7747246496986,0.0008068643351904296,0.0,0.0008068940666876162,0.0,-2.973149718663113e-08,0.0
51,36.92214909738731,28.094600819848417,980.8430684665952,0.0008371830292224456,0.0,0.0008372167694972308,0.0,-3.374027478524229e-08,0.0
52,36.90079681628494,28.203818213387976,971.9161255127261,0.0008486752398314411,0.0,0.0008487100742878549,0.0,-3.483445641379139e-08,0.0
53,36.87931827318845,28.312978698076762,963.0103301605318,0.000860405200829961,0.0,0.0008604411727808178,0.0,-3.597195085683e-08,0.0
54,36.85771357176321,28.42208202022121,954.126302889746,0.0014067190903140794,0.0,0.0014067786104737985,0.0,-5.952015971906997e-08,0.0
55,36.83598281607832,28.531127927720014,945.264686320411,0.0008846020195117814,0.0,0.0008846404043132702,0.0,-3.838480148879789e-08,0.0
56,36.81412611060303,28.640116170067905,936.4261461118281,0.001574073650909265,0.0,0.0015741423183441119,0.0,-6.866743484696021e-08,0.0
57,36.79214356020293,28.74904649835949,927.6113719001248,0.001329000136038179,0.0,0.0013290598354860927,0.0,-5.969944791360364e-08,0.0
58,36.7700352701363,28.85791866529291,918.8210782759697,0.0009703452902705365,0.0,0.0009703898495880311,0.0,-4.4559317494597024e-08,0.0
59,36.74780134605033,28.966732425173454,910.0560058039889,0.0010872924597761634,0.0,0.0010873433398676873,0.0,-5.088009152388363e-08,0.0
60,36.725441893977404,29.075487533917034,901.3169220854514,0.000949682417390013,0.0,0.0009497277414704347,0.0,-4.532408042162792e-08,0.0
61,36.70295702033142,29.184183749053684,892.6046228658104,0.0009635370948891273,0.0,0.0009635839819618117,0.0,-4.688707268447889e-08,0.0
62,36.68034683190394,29.29282082973089,883.9199331887165,0.000977687139047434,0.0,0.0009777356538436253,0.0,-4.851479619124091e-08,0.0
63,36.65761143586056,29.401398536716858,875.2637085980866,0.0011225378259489703,0.0,0.0011225946180406716,0.0,-5.679209170127153e-08,0.0
64,36.63475093973706,29.509916632403726,866.6368363898296,0.0010664775951667945,0.0,0.0010665326410116713,0.0,-5.504584487683005e-08,0.0
65,36.611765451435694,29.618374880810656,858.0402369148,0.0010581498559015798,0.0,0.0010582055740614557,0.0,-5.571815987585882e-08,0.0
