grid_spacing_km,candidate_boundary_points,usable_exposure_points,direct_vs30_points,nearest_valid_vs30_points,excluded_no_vs30_points,maximum_fallback_distance_m
10,7798,7788,7596,192,10,10000.0
20,1950,1948,1897,51,2,10000.0
