distance_range_km,comparison_source,metric,pair_count,negative_count,negative_percent,unchanged_count,unchanged_percent,positive_count,positive_percent
0-25,global_cmt,pga_percent,28,24,85.71428571428571,0,0.0,4,14.285714285714286
0-25,global_cmt,loss_ratio,28,6,21.428571428571427,20,71.42857142857143,2,7.142857142857143
0-25,isc_ehb,pga_percent,28,18,64.28571428571429,3,10.714285714285714,7,25.0
0-25,isc_ehb,loss_ratio,28,6,21.428571428571427,20,71.42857142857143,2,7.142857142857143
0-200,global_cmt,pga_percent,1480,1266,85.54054054054055,13,0.8783783783783784,201,13.58108108108108
0-200,global_cmt,loss_ratio,1480,10,0.6756756756756757,1465,98.98648648648648,5,0.33783783783783783
0-200,isc_ehb,pga_percent,1480,989,66.82432432432432,151,10.202702702702704,340,22.972972972972972
0-200,isc_ehb,loss_ratio,1480,9,0.6081081081081081,1466,99.05405405405405,5,0.33783783783783783
