depth_source,catalogue_label,event_count,p25_event_maximum_pga_g,median_event_maximum_pga_g,p75_event_maximum_pga_g,largest_event_maximum_pga_g,zero_loss_event_count,nonzero_loss_event_count,p25_event_maximum_structural_loss_ratio,median_event_maximum_structural_loss_ratio,p75_event_maximum_structural_loss_ratio,largest_event_maximum_structural_loss_ratio
waveform,gWFM,90,0.00250186032380655,0.0094545443265759,0.07977923196699795,0.4054763377368167,64,26,0.0,0.0,1e-08,0.138512948245993
isc_ehb,ISC-EHB,90,0.00253508678882405,0.0087932385720344,0.06358165715452188,0.36718149354613,65,25,0.0,0.0,1e-08,0.0725438594436013
global_cmt,gCMT,90,0.002573818261804,0.008646394176930548,0.06400829521632155,0.2775961182148136,62,28,0.0,0.0,1e-08,0.0065722781809535
