receiver_id,latitude,longitude,vs30_3arcsec,direct_cell_status_3arcsec,direct_3arcsec,fallback_3arcsec,fallback_distance_3arcsec_m,vs30_9arcsec,direct_cell_status_9arcsec,direct_9arcsec,fallback_9arcsec,fallback_distance_9arcsec_m,fallback_category
1,36.72096108226829,27.69836368910688,174.60174560546875,nodata,False,True,658.0955001070834,249.61154174804688,nodata,False,True,785.0992841011663,both
2,36.39455464027055,29.327564169136853,514.04833984375,valid,True,False,,512.3291015625,valid,True,False,,neither
3,36.27950272914779,29.867739251599968,446.307373046875,valid,True,False,,444.1215515136719,valid,True,False,,neither
4,37.16167480728152,27.812520356913147,417.40411376953125,valid,True,False,,416.2839050292969,valid,True,False,,neither
5,37.05523302606474,28.36015699826684,404.9154357910156,valid,True,False,,419.6947937011719,valid,True,False,,neither
6,36.94562940880127,28.90634871473881,537.5999755859375,valid,True,False,,537.6055297851562,valid,True,False,,neither
7,36.8328772139447,29.45106411136452,600.7100219726562,valid,True,False,,600.7100219726562,valid,True,False,,neither
8,36.71698994271946,29.994272814771403,427.47869873046875,valid,True,False,,421.3836364746094,valid,True,False,,neither
9,36.59798132724053,30.535945483414405,350.50775146484375,valid,True,False,,361.19775390625,valid,True,False,,neither
10,36.0910154761869,32.68672555867665,576.5399780273438,valid,True,False,,576.5399780273438,valid,True,False,,neither
11,37.70594421844185,27.37647198696236,300.5386657714844,valid,True,False,,365.6109924316406,valid,True,False,,neither
12,37.60190569498504,27.9287659737952,387.9013366699219,valid,True,False,,460.6383056640625,valid,True,False,,neither
13,37.49467199987921,28.479607457505445,576.5399780273438,valid,True,False,,576.5399780273438,valid,True,False,,neither
14,37.384256519078185,29.028963277033085,427.2144775390625,valid,True,False,,420.2082214355469,valid,True,False,,neither
15,37.27067289867793,29.5768013203776,405.0047912597656,valid,True,False,,413.7246398925781,valid,True,False,,neither
16,37.15393503266164,30.12309053619455,516.536865234375,valid,True,False,,520.7107543945312,valid,True,False,,neither
17,37.03405705056574,30.66780094401345,319.27349853515625,valid,True,False,,319.2999572753906,valid,True,False,,neither
18,36.91105330508504,31.21090364309496,321.46197509765625,valid,True,False,,346.513671875,valid,True,False,,neither
19,36.78493835963457,31.75237081994863,429.752197265625,valid,True,False,,433.94403076171875,valid,True,False,,neither
20,36.65572697588564,32.292175754535066,576.5399780273438,valid,True,False,,576.5399780273438,valid,True,False,,neither
21,36.52343410129269,32.830292825178866,460.7351379394531,valid,True,False,,459.2327575683594,valid,True,False,,neither
22,36.38807485662762,33.36669751222091,464.6625061035156,valid,True,False,,445.5190734863281,valid,True,False,,neither
23,38.34642733343527,26.37603488009032,159.09075927734375,nodata,False,True,1222.7447797346306,289.8257141113281,nodata,False,True,1462.8408471895862,both
24,38.24807464160599,26.93450807089659,600.7100219726562,valid,True,False,,600.7100219726562,valid,True,False,,neither
25,38.14647942535193,27.491558562072004,269.3341369628906,valid,True,False,,264.477294921875,valid,True,False,,neither
26,38.041654895825566,28.04715028256068,576.5399780273438,valid,True,False,,576.5399780273438,valid,True,False,,neither
27,37.93361455511884,28.601248223537706,445.3048400878906,valid,True,False,,435.82220458984375,valid,True,False,,neither
28,37.82237218374227,29.15381845299078,385.0972595214844,valid,True,False,,398.863037109375,valid,True,False,,neither
29,37.70794182798869,29.70482812881885,600.7100219726562,valid,True,False,,600.7100219726562,valid,True,False,,neither
30,37.59033778720124,30.25424551046159,459.4958190917969,valid,True,False,,457.3770446777344,valid,True,False,,neither
31,37.46957460096505,30.80203996907684,453.04302978515625,valid,True,False,,451.2735595703125,valid,True,False,,neither
32,37.34566703624191,31.34818199628632,600.7100219726562,valid,True,False,,600.7100219726562,valid,True,False,,neither
33,37.21863007446594,31.89264321151313,600.7100219726562,valid,True,False,,600.7100219726562,valid,True,False,,neither
34,37.08847889861916,32.43539636793712,568.85205078125,valid,True,False,,572.5615234375,valid,True,False,,neither
35,36.95522888030389,32.976415357097224,600.7100219726562,valid,True,False,,600.7100219726562,valid,True,False,,neither
36,36.81889556682967,33.51567521217214,433.0396728515625,valid,True,False,,438.1084899902344,valid,True,False,,neither
37,36.67949466833073,34.05315210997315,458.208740234375,valid,True,False,,458.8939208984375,valid,True,False,,neither
